,...1,ENTREZID,ENSEMBL,SYMBOL,logFC,logCPM,F,PValue,FDR,direction
ENSG00000227508,LINC01624,401289,ENSG00000227508,LINC01624,0.619610955,0.230877587,13.70949564,0.000687587,0.122176768,up
ENSG00000116793,PHTF1,10745,ENSG00000116793,PHTF1,-0.498258871,5.113182481,13.62006984,0.000711907,0.122176768,down
ENSG00000228929,RPS13P2,729236,ENSG00000228929,RPS13P2,0.543335751,6.414625922,13.58600158,0.000721411,0.122176768,up
ENSG00000164066,INTU,27152,ENSG00000164066,INTU,-0.775318551,-0.069803061,13.56014053,0.000728715,0.122176768,down
ENSG00000184752,NDUFA12,55967,ENSG00000184752,NDUFA12,0.485958208,5.103455195,13.52320763,0.000739283,0.122176768,up
ENSG00000214541,RPS4XP3,128580,ENSG00000214541,RPS4XP3,0.688628323,0.262321625,13.5024272,0.0007453,0.122176768,up
ENSG00000257704,INAFM1,255783,ENSG00000257704,INAFM1,-0.559692934,1.85340196,13.49126367,0.000748554,0.122176768,down
ENSG00000176928,GCNT4,51301,ENSG00000176928,GCNT4,0.538192534,5.833975208,13.41615411,0.000770843,0.122176768,up
ENSG00000068366,ACSL4,2182,ENSG00000068366,ACSL4,-0.615333279,7.994283325,13.41194838,0.000772111,0.122176768,down
ENSG00000105397,TYK2,7297,ENSG00000105397,TYK2,-0.409981504,7.961806901,13.3784381,0.000782299,0.122176768,down
ENSG00000185155,MIXL1,83881,ENSG00000185155,MIXL1,1.50475048,-1.853616534,13.37226868,0.000784191,0.122176768,up
ENSG00000125810,CD93,22918,ENSG00000125810,CD93,-0.748047703,8.953719387,13.36027455,0.000787881,0.122176768,down
ENSG00000278709,NKILA,105416157,ENSG00000278709,NKILA,0.753438555,-0.008814818,13.33591351,0.000795434,0.122176768,up
ENSG00000114779,ABHD14B,84836,ENSG00000114779,ABHD14B,0.357167418,3.735632336,13.32165695,0.000799889,0.122176768,up
ENSG00000196924,FLNA,2316,ENSG00000196924,FLNA,-0.535589474,10.46298408,13.32115192,0.000800048,0.122176768,down
ENSG00000065613,SLK,9748,ENSG00000065613,SLK,-0.396529237,7.842655012,13.26370161,0.000818276,0.122176768,down
ENSG00000140743,CDR2,1039,ENSG00000140743,CDR2,0.406670737,5.653304443,13.24539775,0.000824176,0.122176768,up
ENSG00000138670,RASGEF1B,153020,ENSG00000138670,RASGEF1B,0.44004966,4.985580177,13.23619813,0.000827159,0.122176768,up
ENSG00000134313,KIDINS220,57498,ENSG00000134313,KIDINS220,-0.428829129,8.316244859,13.23488217,0.000827586,0.122176768,down
ENSG00000064999,ANKS1A,23294,ENSG00000064999,ANKS1A,-0.452172384,5.265212187,13.23205786,0.000828505,0.122176768,down
