"","...1","ENTREZID","ENSEMBL","SYMBOL","logFC","logCPM","F","PValue","FDR","direction"
"ENSG00000243678","NME2",4831,"ENSG00000243678","NME2",0.638770122010808,-0.516985260488059,8.45066832370075,0.00611301122387705,0.130193089494264,"up"
"ENSG00000174206","C12orf66",144577,"ENSG00000174206","C12orf66",0.28557057984535,4.26632970449392,8.44525404131153,0.00612781527917899,0.130193089494264,"up"
"ENSG00000180992","MRPL14",64928,"ENSG00000180992","MRPL14",0.456689963738181,3.38746738650069,8.4437584075904,0.00613191148499466,0.130193089494264,"up"
"ENSG00000233533","MKNK2P1",389948,"ENSG00000233533","MKNK2P1",-0.580321792251244,0.121554175847536,8.43992837602778,0.0061424144393858,0.130193089494264,"down"
"ENSG00000211797","TRAV17",28666,"ENSG00000211797","TRAV17",0.378651726237705,2.130493447388,8.43679414684837,0.00615102363326368,0.130193089494264,"up"
"ENSG00000152147","GEMIN6",79833,"ENSG00000152147","GEMIN6",0.387757221758644,3.56935544155811,8.43561958015063,0.00615425329115577,0.130193089494264,"up"
"ENSG00000106771","TMEM245",23731,"ENSG00000106771","TMEM245",0.255042415830311,6.5142801912527,8.43483768376673,0.00615640424493485,0.130193089494264,"up"
"ENSG00000178935","ZNF552",79818,"ENSG00000178935","ZNF552",-0.28411494718973,4.65500737817534,8.42690217709112,0.00617827992544516,0.130453883558024,"down"
"ENSG00000100030","MAPK1",5594,"ENSG00000100030","MAPK1",-0.398834701132953,9.57358085349233,8.42361579926724,0.00618736375681974,0.130453883558024,"down"
"ENSG00000021300","PLEKHB1",58473,"ENSG00000021300","PLEKHB1",0.50653031391792,2.8520553497209,8.42103843712873,0.00619449780067311,0.130453883558024,"up"
"ENSG00000272034","SNORD14A",26822,"ENSG00000272034","SNORD14A",0.618564485842371,-0.122289234377258,8.41700524545731,0.00620567918609837,0.130453883558024,"up"
"ENSG00000100368","CSF2RB",1439,"ENSG00000100368","CSF2RB",-0.570839196239109,9.04397030269043,8.41327120636604,0.00621605046199317,0.130453883558024,"down"
"ENSG00000133703","KRAS",3845,"ENSG00000133703","KRAS",-0.280301402313527,6.9646187377511,8.40699328828126,0.00623352915379173,0.130453883558024,"down"
"ENSG00000014216","CAPN1",823,"ENSG00000014216","CAPN1",-0.359905223929629,6.46210910757876,8.40564506083955,0.00623728967847855,0.130453883558024,"down"
"ENSG00000111707","SUDS3",64426,"ENSG00000111707","SUDS3",-0.230345571851157,6.36320565991539,8.40311041361814,0.00624436597784992,0.130453883558024,"down"
"ENSG00000225267","RPL8P2",100128766,"ENSG00000225267","RPL8P2",0.574175582612014,0.195245723084924,8.39531975502858,0.00626616996255088,0.130453883558024,"up"
"ENSG00000110063","DCPS",28960,"ENSG00000110063","DCPS",0.287770411138405,4.33561376029566,8.39518104972103,0.00626655889885175,0.130453883558024,"up"
"ENSG00000174500","GCSAM",257144,"ENSG00000174500","GCSAM",0.424457955628802,4.84311191530685,8.39490648868561,0.00626732885723372,0.130453883558024,"up"
"ENSG00000235897","TM4SF19-AS1",100874214,"ENSG00000235897","TM4SF19-AS1",0.701508375100478,-0.0229814332034857,8.3917179599586,0.00627627794211777,0.130453883558024,"up"
"ENSG00000181690","PLAG1",5324,"ENSG00000181690","PLAG1",0.364850271978192,4.55025008385232,8.37757758302128,0.00631613005453154,0.130453883558024,"up"
"ENSG00000079805","DNM2",1785,"ENSG00000079805","DNM2",-0.310506841615935,7.95301178917391,8.37647457325028,0.00631925004828207,0.130453883558024,"down"
"ENSG00000138185","ENTPD1",953,"ENSG00000138185","ENTPD1",-0.545669098571677,7.03859572230554,8.37417673102586,0.00632575506231903,0.130453883558024,"down"
"ENSG00000064763","FAR2",55711,"ENSG00000064763","FAR2",-0.509157035718341,5.79930377134527,8.37241603693978,0.00633074429773614,0.130453883558024,"down"
"ENSG00000197530","MIB2",142678,"ENSG00000197530","MIB2",-0.406365677656844,4.38374633342234,8.36842082618886,0.00634208104536127,0.130453883558024,"down"
"ENSG00000160991","ORAI2",80228,"ENSG00000160991","ORAI2",-0.479789872591305,7.59781241701342,8.36809461951205,0.00634300764268885,0.130453883558024,"down"
"ENSG00000130592","LSP1",4046,"ENSG00000130592","LSP1",-0.563234395466312,9.36206545008736,8.36554953935097,0.00635024197343486,0.130453883558024,"down"
"ENSG00000185896","LAMP1",3916,"ENSG00000185896","LAMP1",-0.400899358227548,7.35363006680832,8.36411827275753,0.00635431419172681,0.130453883558024,"down"
"ENSG00000065135","GNAI3",2773,"ENSG00000065135","GNAI3",-0.281958684948347,8.35993649288345,8.36337233890277,0.0063564376186679,0.130453883558024,"down"
"ENSG00000119705","SLIRP",81892,"ENSG00000119705","SLIRP",0.552033280435931,3.22935250543728,8.35301439323916,0.00638600183585123,0.130453883558024,"up"
"ENSG00000116120","FARSB",10056,"ENSG00000116120","FARSB",0.228457769085275,4.76634163813754,8.35187465383876,0.00638926391372634,0.130453883558024,"up"
"ENSG00000138738","PRDM5",11107,"ENSG00000138738","PRDM5",-0.859982475001491,4.51440282036543,8.33462677182584,0.00643884771368472,0.130453883558024,"down"
"ENSG00000124074","ENKD1",84080,"ENSG00000124074","ENKD1",-0.389406827653785,2.21883742316369,8.33307743826299,0.00644332180512524,0.130453883558024,"down"
"ENSG00000119669","IRF2BPL",64207,"ENSG00000119669","IRF2BPL",-0.482067711148303,5.64932326812496,8.32561603281413,0.00646491511641037,0.130453883558024,"down"
"ENSG00000174705","SH3PXD2B",285590,"ENSG00000174705","SH3PXD2B",-0.733124950971609,0.228522410413622,8.3241634440365,0.0064691279039669,0.130453883558024,"down"
"ENSG00000120784","ZFP30",22835,"ENSG00000120784","ZFP30",0.425429374943351,4.46826105388617,8.32365759245661,0.00647059566040054,0.130453883558024,"up"
"ENSG00000247982","LINC00926",283663,"ENSG00000247982","LINC00926",0.537606773433683,5.23047237786335,8.32313018067865,0.00647212635428349,0.130453883558024,"up"
"ENSG00000164506","STXBP5",134957,"ENSG00000164506","STXBP5",-0.397126657413852,8.12474384006671,8.32070515704609,0.00647916942589491,0.130453883558024,"down"
"ENSG00000189362","NEMP2",100131211,"ENSG00000189362","NEMP2",0.309477360855,4.88479099336346,8.3206505658788,0.00647932807105187,0.130453883558024,"up"
"ENSG00000242247","ARFGAP3",26286,"ENSG00000242247","ARFGAP3",-0.242417888441663,6.16339664150007,8.31135312420346,0.00650640770032823,0.130453883558024,"down"
"ENSG00000215043","GLULP6",343981,"ENSG00000215043","GLULP6",-0.69681757982988,0.355215948394101,8.3107495204929,0.00650816993024749,0.130453883558024,"down"
"ENSG00000109819","PPARGC1A",10891,"ENSG00000109819","PPARGC1A",-1.44220067492912,-0.606009266964913,8.30726855881332,0.00651834261705402,0.130453883558024,"down"
"ENSG00000104375","STK3",6788,"ENSG00000104375","STK3",-0.446274515289904,4.29410531184209,8.30474076660178,0.0065257404426268,0.130453883558024,"down"
"ENSG00000189308","LIN54",132660,"ENSG00000189308","LIN54",-0.218881243289661,6.12828082772029,8.30283374557185,0.00653132746590428,0.130453883558024,"down"
