"","...1","ENTREZID","ENSEMBL","SYMBOL","logFC","logCPM","F","PValue","FDR","direction"
"ENSG00000196693","ZNF33B",7582,"ENSG00000196693","ZNF33B",0.230683775045129,6.136013564295,5.76691119646579,0.0214314677284109,0.156524222904305,"up"
"ENSG00000166920","C15orf48",84419,"ENSG00000166920","C15orf48",-0.672434237818292,-1.58878217333618,5.76683014298812,0.0214323202922618,0.156524222904305,"down"
"ENSG00000258978","HIF1AP1",100874523,"ENSG00000258978","HIF1AP1",-0.433022622968688,2.94420555864346,5.76680665126646,0.0214325673976237,0.156524222904305,"down"
"ENSG00000072786","STK10",6793,"ENSG00000072786","STK10",-0.297848372021288,8.32198835785736,5.76501591406196,0.0214514129345632,0.156524222904305,"down"
"ENSG00000166268","MYRFL",196446,"ENSG00000166268","MYRFL",-1.19284306311032,-2.25231735691873,5.76415449139633,0.0214604848491347,0.156524222904305,"down"
"ENSG00000162086","ZNF75A",7627,"ENSG00000162086","ZNF75A",0.278668514594556,5.67835289613612,5.76081771904211,0.0214956646786189,0.156524222904305,"up"
"ENSG00000148300","REXO4",57109,"ENSG00000148300","REXO4",0.256536832831786,4.80208682260147,5.76023093678084,0.0215018576183979,0.156524222904305,"up"
"ENSG00000067992","PDK3",5165,"ENSG00000067992","PDK3",-0.408961839394665,5.87673123917349,5.75994670655316,0.0215048580979053,0.156524222904305,"down"
"ENSG00000139291","TMEM19",55266,"ENSG00000139291","TMEM19",0.233780639684437,5.23607234596462,5.75987678859254,0.0215055962570874,0.156524222904305,"up"
"ENSG00000164967","RPP25L",138716,"ENSG00000164967","RPP25L",0.229605171384182,4.03885576792192,5.75790146926092,0.0215264620388025,0.156524222904305,"up"
"ENSG00000123737","EXOSC9",5393,"ENSG00000123737","EXOSC9",0.26013479822603,4.93696326923607,5.75767531019299,0.0215288524104289,0.156524222904305,"up"
"ENSG00000132879","FBXO44",93611,"ENSG00000132879","FBXO44",0.333663404406965,3.49308412374517,5.75751318434971,0.0215305661644415,0.156524222904305,"up"
"ENSG00000169609","C15orf40",123207,"ENSG00000169609","C15orf40",0.246222733668126,5.38051375792372,5.75749500959648,0.0215307582901891,0.156524222904305,"up"
"ENSG00000181038","METTL23",124512,"ENSG00000181038","METTL23",0.277905808360757,4.07161166027196,5.75641501041669,0.021542178320011,0.156533022749957,"up"
"ENSG00000187479","C11orf96",387763,"ENSG00000187479","C11orf96",0.597594292436315,-1.25781126399993,5.75465329284117,0.0215608209909825,0.156594271640807,"up"
"ENSG00000148841","ITPRIP",85450,"ENSG00000148841","ITPRIP",-0.40661766834322,7.49581398386751,5.75237354046381,0.0215849714889012,0.156695446433633,"down"
